id_producto,codigo_producto,nombre_producto,descripcion,precio_compra,precio_venta,stock_actual,stock_minimo,fecha_vencimiento,activo,id_categoria,unidad_medida
1,RES-001,Resina A1 Filtek,Resina universal jeringa 4g,35000,55000,20,5,2026-12-31,1,1,UN
2,RES-002,Resina A2 Filtek,Resina universal jeringa 4g,35000,55000,25,5,2026-12-31,1,1,UN
3,RES-003,Resina A3 Filtek,Resina universal jeringa 4g,35000,55000,22,5,2026-12-31,1,1,UN
4,RES-004,Resina B1 Filtek,Resina estetica jeringa 4g,38000,58000,10,3,2026-11-20,1,1,UN
5,RES-005,Resina Bulk Fill,Resina para posteriores,42000,65000,15,3,2027-01-15,1,1,UN
6,RES-006,Adhesivo Single Bond,Frasco adhesivo 5ml,75000,110000,12,3,2026-10-10,1,1,ML
7,RES-007,Acido Grabador,Jeringa 3ml pack x3,18000,32000,20,5,2026-09-05,1,1,UN
8,RES-008,Ionómero Base,Cemento base cavitaria,48000,78000,8,2,2026-08-22,1,1,UN
9,RES-009,Cemento Resina Dual,Cemento para postes y coronas,65000,98000,6,2,2026-12-01,1,1,UN
10,RES-010,Pasta Profilaxis,Tarro 100g fresa,12000,22000,15,5,2027-02-28,1,1,GR
11,INS-001,Espejos Bucales,Espejo plano nro 5 x12,18000,32000,10,2,2028-01-01,1,2,CJ
12,INS-002,Sonda Exploradora,Doble extremo mango metal,6000,15000,25,5,2028-01-01,1,2,UN
13,INS-003,Pinza Algodonera,Acero inoxidable quirurgico,8000,18000,20,5,2028-01-01,1,2,UN
14,INS-004,Cucharilla Dentina,Excavador mediano,12000,25000,15,3,2028-01-01,1,2,UN
15,INS-005,Espátula Resina,Kit x3 espatulas titanio,45000,85000,10,2,2028-01-01,1,2,CJ
16,INS-006,Forceps 150,Extraccion superiores,95000,150000,4,1,2028-01-01,1,2,UN
17,INS-007,Forceps 151,Extraccion inferiores,95000,150000,4,1,2028-01-01,1,2,UN
